coluna	tipo	comentario
ano_pesquisa	int	None
id_unificado	string	None
atua_com_dados	boolean	None
senioridade	string	None
senioridade_ordem	int	None
funcao_dados	varchar(23)	None
cargo	string	None
faixa_exp_dados	varchar(15)	None
faixa_exp_dados_ordem	int	None
escolaridade	string	None
escolaridade_ordem	int	None
regiao	string	None
uf	string	None
modelo_trabalho	varchar(18)	None
setor	string	None
porte_empresa	string	None
porte_empresa_ordem	int	None
grupo_uso_ia	varchar(13)	None
flag_usa_ia	int	None
linguagem_principal	string	None
cloud_preferida	string	None
salario_medio	double	None
salario_min	double	None
salario_max	double	None
faixa_salarial	string	None
faixa_salarial_ordem	int	None
salario_censurado	boolean	None
tem_salario	boolean	None
