"tabela","coluna","tipo_dado","particao"
"agg_ia_adocao_anual","ano_pesquisa","bigint","nao"
"agg_ia_adocao_anual","total_registros","bigint","nao"
"agg_ia_adocao_anual","respostas_validas_uso_ia","bigint","nao"
"agg_ia_adocao_anual","usuarios_ia","bigint","nao"
"agg_ia_adocao_anual","nao_usuarios_ia","bigint","nao"
"agg_ia_adocao_anual","usuarios_copilot","bigint","nao"
"agg_ia_adocao_anual","usuarios_ferramentas_gratuitas","bigint","nao"
"agg_ia_adocao_anual","usuarios_com_ferramenta_paga_empresa","bigint","nao"
"agg_ia_adocao_anual","usuarios_que_pagaram_proprio_bolso","bigint","nao"
"agg_ia_adocao_anual","usuarios_autofinanciamento_exclusivo","bigint","nao"
"agg_ia_adocao_anual","pct_cobertura_pergunta_uso_ia","double","nao"
"agg_ia_adocao_anual","pct_adocao_ia","double","nao"
"agg_ia_adocao_anual","pct_copilot_entre_usuarios_ia","double","nao"
"agg_ia_adocao_anual","pct_gratuitas_entre_usuarios_ia","double","nao"
"agg_ia_adocao_anual","pct_paga_empresa_entre_usuarios_ia","double","nao"
"agg_ia_adocao_anual","pct_paga_proprio_entre_usuarios_ia","double","nao"
"agg_ia_adocao_anual","pct_autofinanciamento_exclusivo_entre_usuarios","double","nao"
"agg_ia_adocao_anual","pct_apoio_institucional_total","double","nao"
"agg_ia_adocao_anual","gap_adocao_apoio_pp","double","nao"
