"tabela","coluna","tipo_dado","particao"
"agg_ia_adocao_segmento","ano_pesquisa","bigint","nao"
"agg_ia_adocao_segmento","tipo_dimensao","varchar(18)","nao"
"agg_ia_adocao_segmento","categoria","string","nao"
"agg_ia_adocao_segmento","total_registros","bigint","nao"
"agg_ia_adocao_segmento","respostas_validas_uso_ia","bigint","nao"
"agg_ia_adocao_segmento","usuarios_ia","bigint","nao"
"agg_ia_adocao_segmento","usuarios_com_apoio_empresa","bigint","nao"
"agg_ia_adocao_segmento","usuarios_autofinanciamento_exclusivo","bigint","nao"
"agg_ia_adocao_segmento","pct_cobertura_pergunta_uso_ia","double","nao"
"agg_ia_adocao_segmento","pct_adocao_ia","double","nao"
"agg_ia_adocao_segmento","pct_apoio_empresa_entre_usuarios","double","nao"
"agg_ia_adocao_segmento","pct_autofinanciamento_exclusivo_entre_usuarios","double","nao"
"agg_ia_adocao_segmento","gap_adocao_apoio_pp","double","nao"
