"tabela","coluna","tipo_dado","particao"
"agg_ia_salario_senioridade","ano_pesquisa","bigint","nao"
"agg_ia_salario_senioridade","nivel_comparavel","string","nao"
"agg_ia_salario_senioridade","nivel_ordem","int","nao"
"agg_ia_salario_senioridade","flag_usa_ia","int","nao"
"agg_ia_salario_senioridade","grupo_uso_ia","varchar(10)","nao"
"agg_ia_salario_senioridade","quantidade_profissionais","bigint","nao"
"agg_ia_salario_senioridade","salario_medio_grupo","double","nao"
"agg_ia_salario_senioridade","salario_primeiro_quartil","double","nao"
"agg_ia_salario_senioridade","salario_mediano","double","nao"
"agg_ia_salario_senioridade","salario_terceiro_quartil","double","nao"
"agg_ia_salario_senioridade","salario_minimo_observado","double","nao"
"agg_ia_salario_senioridade","salario_maximo_observado","double","nao"
