"tabela","coluna","tipo_dado","particao"
"agg_ia_tecnologias_senioridade","ano_pesquisa","bigint","nao"
"agg_ia_tecnologias_senioridade","nivel_comparavel","string","nao"
"agg_ia_tecnologias_senioridade","nivel_ordem","int","nao"
"agg_ia_tecnologias_senioridade","flag_usa_ia","int","nao"
"agg_ia_tecnologias_senioridade","grupo_uso_ia","varchar(10)","nao"
"agg_ia_tecnologias_senioridade","quantidade_profissionais","bigint","nao"
"agg_ia_tecnologias_senioridade","media_tecnologias_bi","double","nao"
"agg_ia_tecnologias_senioridade","media_tecnologias_cloud","double","nao"
"agg_ia_tecnologias_senioridade","media_tecnologias_banco","double","nao"
"agg_ia_tecnologias_senioridade","media_tecnologias_linguagem","double","nao"
"agg_ia_tecnologias_senioridade","media_tecnologias_total","double","nao"
"agg_ia_tecnologias_senioridade","mediana_tecnologias_total","bigint","nao"
