"tabela","coluna","tipo_dado","particao"
"ft_ia_profissional","id_unificado","string","nao"
"ft_ia_profissional","id_respondente","string","nao"
"ft_ia_profissional","data_envio","timestamp","nao"
"ft_ia_profissional","idade","int","nao"
"ft_ia_profissional","faixa_idade","string","nao"
"ft_ia_profissional","faixa_idade_ordem","int","nao"
"ft_ia_profissional","genero","string","nao"
"ft_ia_profissional","cor_raca_etnia","string","nao"
"ft_ia_profissional","pcd","string","nao"
"ft_ia_profissional","vive_no_brasil","string","nao"
"ft_ia_profissional","pais_onde_mora","string","nao"
"ft_ia_profissional","estado_onde_mora","string","nao"
"ft_ia_profissional","uf_onde_mora","string","nao"
"ft_ia_profissional","regiao_onde_mora","string","nao"
"ft_ia_profissional","nivel_ensino","string","nao"
"ft_ia_profissional","area_formacao","string","nao"
"ft_ia_profissional","situacao_trabalho","string","nao"
"ft_ia_profissional","flag_empregado","boolean","nao"
"ft_ia_profissional","setor","string","nao"
"ft_ia_profissional","numero_funcionarios","string","nao"
"ft_ia_profissional","porte_empresa_ordem","int","nao"
"ft_ia_profissional","atua_como_gestor","boolean","nao"
"ft_ia_profissional","cargo_como_gestor","string","nao"
"ft_ia_profissional","cargo_atual","string","nao"
"ft_ia_profissional","funcao_atuacao","string","nao"
"ft_ia_profissional","flag_atua_com_dados","boolean","nao"
"ft_ia_profissional","nivel","string","nao"
"ft_ia_profissional","nivel_comparavel","string","nao"
"ft_ia_profissional","nivel_ordem","int","nao"
"ft_ia_profissional","tempo_experiencia_dados","string","nao"
"ft_ia_profissional","tempo_experiencia_dados_ordem","int","nao"
"ft_ia_profissional","tempo_experiencia_ti","string","nao"
"ft_ia_profissional","faixa_salarial","string","nao"
"ft_ia_profissional","faixa_salarial_ordem","int","nao"
"ft_ia_profissional","salario_min","double","nao"
"ft_ia_profissional","salario_max","double","nao"
"ft_ia_profissional","salario_medio","double","nao"
"ft_ia_profissional","modelo_trabalho_atual","string","nao"
"ft_ia_profissional","modelo_trabalho_ideal","string","nao"
"ft_ia_profissional","ia_generativa_prioridade","string","nao"
"ft_ia_profissional","ia_bons_resultados_llm","string","nao"
"ft_ia_profissional","tipo_uso_ia_empresa","string","nao"
"ft_ia_profissional","usa_llm_trabalho","string","nao"
"ft_ia_profissional","categoria_prioridade_ia","varchar(36)","nao"
"ft_ia_profissional","flag_prioridade_estrategica","int","nao"
"ft_ia_profissional","categoria_resultado_llm","varchar(35)","nao"
"ft_ia_profissional","flag_resultado_positivo_llm","int","nao"
"ft_ia_profissional","flag_uso_ia_independente","int","nao"
"ft_ia_profissional","flag_ia_direcionamento_centralizado","int","nao"
"ft_ia_profissional","flag_ia_desenvolvimento_codigo","int","nao"
"ft_ia_profissional","flag_ia_eficiencia_processos","int","nao"
"ft_ia_profissional","flag_ia_inovacao_produtos","int","nao"
"ft_ia_profissional","flag_ia_principal_negocio","int","nao"
"ft_ia_profissional","flag_ia_casos_isolados_inicio","int","nao"
"ft_ia_profissional","flag_ia_nao_sabe_empresa","int","nao"
"ft_ia_profissional","flag_usa_ia","int","nao"
"ft_ia_profissional","ia_uso_copilot","int","nao"
"ft_ia_profissional","ia_uso_gratuitas","int","nao"
"ft_ia_profissional","ia_uso_nao_uso","int","nao"
"ft_ia_profissional","ia_uso_pagas_pela_empresa","int","nao"
"ft_ia_profissional","ia_uso_pagas_proprio_bolso","int","nao"
"ft_ia_profissional","perfil_acesso_ia","varchar(27)","nao"
"ft_ia_profissional","flag_apoio_institucional","int","nao"
"ft_ia_profissional","flag_autofinanciamento_exclusivo","int","nao"
"ft_ia_profissional","flag_uso_ia_organizacional","int","nao"
"ft_ia_profissional","categoria_maturidade_ia_empresa","varchar(36)","nao"
"ft_ia_profissional","qtd_modalidades_acesso_ia","int","nao"
"ft_ia_profissional","qtd_tecnologias_bi","int","nao"
"ft_ia_profissional","qtd_tecnologias_cloud","int","nao"
"ft_ia_profissional","qtd_tecnologias_banco","int","nao"
"ft_ia_profissional","qtd_tecnologias_linguagem","int","nao"
"ft_ia_profissional","qtd_tecnologias_total","int","nao"
"ft_ia_profissional","ano_pesquisa","bigint","sim"
