"tabela","coluna","tipo_dado","particao"
"vw_silver_ia_fonte","ano_pesquisa","int","nao"
"vw_silver_ia_fonte","id_unificado","string","nao"
"vw_silver_ia_fonte","id_respondente","string","nao"
"vw_silver_ia_fonte","data_envio","timestamp","nao"
"vw_silver_ia_fonte","idade","int","nao"
"vw_silver_ia_fonte","faixa_idade","string","nao"
"vw_silver_ia_fonte","faixa_idade_ordem","int","nao"
"vw_silver_ia_fonte","genero","string","nao"
"vw_silver_ia_fonte","cor_raca_etnia","string","nao"
"vw_silver_ia_fonte","pcd","string","nao"
"vw_silver_ia_fonte","experiencia_prejudicada","string","nao"
"vw_silver_ia_fonte","vive_no_brasil","string","nao"
"vw_silver_ia_fonte","pais_onde_mora","string","nao"
"vw_silver_ia_fonte","estado_onde_mora","string","nao"
"vw_silver_ia_fonte","uf_onde_mora","string","nao"
"vw_silver_ia_fonte","regiao_onde_mora","string","nao"
"vw_silver_ia_fonte","regiao_de_origem","string","nao"
"vw_silver_ia_fonte","nivel_ensino","string","nao"
"vw_silver_ia_fonte","area_formacao","string","nao"
"vw_silver_ia_fonte","situacao_trabalho","string","nao"
"vw_silver_ia_fonte","flag_empregado","boolean","nao"
"vw_silver_ia_fonte","setor","string","nao"
"vw_silver_ia_fonte","numero_funcionarios","string","nao"
"vw_silver_ia_fonte","porte_empresa_ordem","int","nao"
"vw_silver_ia_fonte","atua_como_gestor","boolean","nao"
"vw_silver_ia_fonte","cargo_como_gestor","string","nao"
"vw_silver_ia_fonte","cargo_atual","string","nao"
"vw_silver_ia_fonte","funcao_atuacao","string","nao"
"vw_silver_ia_fonte","flag_atua_com_dados","boolean","nao"
"vw_silver_ia_fonte","nivel","string","nao"
"vw_silver_ia_fonte","nivel_comparavel","string","nao"
"vw_silver_ia_fonte","nivel_ordem","int","nao"
"vw_silver_ia_fonte","tempo_experiencia_dados","string","nao"
"vw_silver_ia_fonte","tempo_experiencia_dados_ordem","int","nao"
"vw_silver_ia_fonte","tempo_experiencia_ti","string","nao"
"vw_silver_ia_fonte","faixa_salarial","string","nao"
"vw_silver_ia_fonte","faixa_salarial_ordem","int","nao"
"vw_silver_ia_fonte","salario_min","double","nao"
"vw_silver_ia_fonte","salario_max","double","nao"
"vw_silver_ia_fonte","salario_medio","double","nao"
"vw_silver_ia_fonte","modelo_trabalho_atual","string","nao"
"vw_silver_ia_fonte","modelo_trabalho_ideal","string","nao"
"vw_silver_ia_fonte","atitude_retorno_presencial","string","nao"
"vw_silver_ia_fonte","satisfeito_empresa_atual","boolean","nao"
"vw_silver_ia_fonte","participou_entrevistas_6m","string","nao"
"vw_silver_ia_fonte","pretende_mudar_emprego_6m","string","nao"
"vw_silver_ia_fonte","empresa_teve_layoff","string","nao"
"vw_silver_ia_fonte","objetivo_area_dados","string","nao"
"vw_silver_ia_fonte","oportunidade_buscada","string","nao"
"vw_silver_ia_fonte","numero_pessoas_dados","string","nao"
"vw_silver_ia_fonte","possui_data_lake","boolean","nao"
"vw_silver_ia_fonte","possui_data_warehouse","boolean","nao"
"vw_silver_ia_fonte","ia_generativa_prioridade","string","nao"
"vw_silver_ia_fonte","ia_bons_resultados_llm","string","nao"
"vw_silver_ia_fonte","tipo_uso_ia_empresa","string","nao"
"vw_silver_ia_fonte","usa_llm_trabalho","string","nao"
"vw_silver_ia_fonte","flag_usa_ia","boolean","nao"
"vw_silver_ia_fonte","linguagens_dia_a_dia","string","nao"
"vw_silver_ia_fonte","linguagem_mais_usada","string","nao"
"vw_silver_ia_fonte","linguagem_preferida","string","nao"
"vw_silver_ia_fonte","cloud_preferida","string","nao"
"vw_silver_ia_fonte","cloud_preferida_original","string","nao"
"vw_silver_ia_fonte","bi_preferida","string","nao"
"vw_silver_ia_fonte","bi_preferida_original","string","nao"
"vw_silver_ia_fonte","ia_uso_copilot","boolean","nao"
"vw_silver_ia_fonte","ia_uso_gratuitas","boolean","nao"
"vw_silver_ia_fonte","ia_uso_nao_uso","boolean","nao"
"vw_silver_ia_fonte","ia_uso_pagas_pela_empresa","boolean","nao"
"vw_silver_ia_fonte","ia_uso_pagas_proprio_bolso","boolean","nao"
"vw_silver_ia_fonte","tec_bi_alteryx","boolean","nao"
"vw_silver_ia_fonte","tec_bi_amazon_quicksight","boolean","nao"
"vw_silver_ia_fonte","tec_bi_apenas_excel_ou_planilhas","boolean","nao"
"vw_silver_ia_fonte","tec_bi_birst","boolean","nao"
"vw_silver_ia_fonte","tec_bi_grafana","boolean","nao"
"vw_silver_ia_fonte","tec_bi_ibm_analytics_cognos","boolean","nao"
"vw_silver_ia_fonte","tec_bi_looker","boolean","nao"
"vw_silver_ia_fonte","tec_bi_looker_studio","boolean","nao"
"vw_silver_ia_fonte","tec_bi_metabase","boolean","nao"
"vw_silver_ia_fonte","tec_bi_microsoft_powerbi","boolean","nao"
"vw_silver_ia_fonte","tec_bi_microstrategy","boolean","nao"
"vw_silver_ia_fonte","tec_bi_mode","boolean","nao"
"vw_silver_ia_fonte","tec_bi_nao_utilizo_nenhuma","boolean","nao"
"vw_silver_ia_fonte","tec_bi_oracle_business_intelligence","boolean","nao"
"vw_silver_ia_fonte","tec_bi_pentaho","boolean","nao"
"vw_silver_ia_fonte","tec_bi_qlik_view_qlik_sense","boolean","nao"
"vw_silver_ia_fonte","tec_bi_redash","boolean","nao"
"vw_silver_ia_fonte","tec_bi_salesforce_einstein_analytics","boolean","nao"
"vw_silver_ia_fonte","tec_bi_sap_business_objects_sap_analytics","boolean","nao"
"vw_silver_ia_fonte","tec_bi_sas_visual_analytics","boolean","nao"
"vw_silver_ia_fonte","tec_bi_superset","boolean","nao"
"vw_silver_ia_fonte","tec_bi_tableau","boolean","nao"
"vw_silver_ia_fonte","tec_bi_tibco_spotfire","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_amazon_web_services_aws","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_azure_microsoft","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_cloud_propria","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_google_cloud_gcp","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_ibm","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_on_premise","boolean","nao"
"vw_silver_ia_fonte","tec_cloud_oracle_cloud","boolean","nao"
"vw_silver_ia_fonte","tec_db_amazon_athena","boolean","nao"
"vw_silver_ia_fonte","tec_db_amazon_aurora_ou_rds","boolean","nao"
"vw_silver_ia_fonte","tec_db_amazon_redshift","boolean","nao"
"vw_silver_ia_fonte","tec_db_cassandra","boolean","nao"
"vw_silver_ia_fonte","tec_db_coachdb","boolean","nao"
"vw_silver_ia_fonte","tec_db_databricks","boolean","nao"
"vw_silver_ia_fonte","tec_db_datomic","boolean","nao"
"vw_silver_ia_fonte","tec_db_db2","boolean","nao"
"vw_silver_ia_fonte","tec_db_dynamodb","boolean","nao"
"vw_silver_ia_fonte","tec_db_elasticsearch","boolean","nao"
"vw_silver_ia_fonte","tec_db_firebase","boolean","nao"
"vw_silver_ia_fonte","tec_db_firebird","boolean","nao"
"vw_silver_ia_fonte","tec_db_google_bigquery","boolean","nao"
"vw_silver_ia_fonte","tec_db_google_firestore","boolean","nao"
"vw_silver_ia_fonte","tec_db_hbase","boolean","nao"
"vw_silver_ia_fonte","tec_db_hive","boolean","nao"
"vw_silver_ia_fonte","tec_db_mariadb","boolean","nao"
"vw_silver_ia_fonte","tec_db_microsoft_access","boolean","nao"
"vw_silver_ia_fonte","tec_db_mongodb","boolean","nao"
"vw_silver_ia_fonte","tec_db_mysql","boolean","nao"
"vw_silver_ia_fonte","tec_db_neo4j","boolean","nao"
